Local authority / region code,Local authority / region name,Oct-19,Jan-20,Apr-20,Jul-20,Oct-20,Jan-21,Apr-21,Jul-21,Oct-21,Jan-22,Apr-22,Jul-22,Oct-22,Jan-23,Apr-23,Jul-23,Oct-23,Jan-24,Apr-24,Jul-24,Oct-24 [Note 14],Jan-25,Apr-25,Jul-25,Oct-25
K02000001,United Kingdom,15116,16505,17947,18265,19487,20775,22790,24374,25927,28375,30290,32011,34637,37055,40150,44020,49220,53677,59670,64632,70042,73334,76507,82002,86021
K03000001,Great Britain,14821,16210,17642,17953,19169,20455,22463,24044,25595,28030,29942,31683,34295,36689,39761,43587,48789,53212,59125,64014,69403,72654,75835,81318,85283
E92000001,England,12549,13719,14979,15395,16456,17459,19261,20563,21925,24159,25884,27502,29774,31466,34203,37717,42489,46374,51506,55631,60364,63389,65877,70672,74115
E12000001,North East,738,752,786,812,849,820,854,887,916,975,1011,1155,1142,1253,1392,1657,1536,1596,1942,1919,2295,2583,2553,2703,2698
E06000047,County Durham,92,96,102,105,106,110,121,116,124,128,149,174,206,229,240,259,268,291,309,313,359,400,462,482,482
E06000005,Darlington,27,27,28,28,29,29,29,31,31,30,31,49,54,68,73,80,80,87,107,103,108,95,101,110,113
E06000001,Hartlepool,5,5,6,6,6,8,9,10,11,13,12,11,8,24,27,27,27,32,37,38,33,34,38,49,49
E06000002,Middlesbrough,25,27,29,29,29,30,30,30,30,32,34,38,33,51,58,63,62,64,58,52,69,73,80,88,94
E06000057,Northumberland,139,138,149,152,162,149,153,172,186,197,198,226,220,251,264,280,277,283,387,383,518,557,596,617,611
E06000003,Redcar and Cleveland,17,17,20,20,24,24,26,32,34,36,36,40,45,37,58,61,71,68,69,59,70,72,67,79,84
E06000004,Stockton-on-Tees,71,73,76,85,86,84,86,86,85,95,97,102,101,107,125,162,115,110,117,111,126,132,128,186,155
E11000007,Tyne and Wear (Metropolitan County),362,369,376,387,407,386,400,410,415,444,454,515,475,486,547,725,636,661,858,860,1012,1220,1081,1092,1110
E08000037,Gateshead,60,61,66,67,70,62,61,63,66,64,76,77,70,73,118,206,161,179,197,200,209,213,218,231,290
E08000021,Newcastle upon Tyne,106,109,107,109,116,113,119,126,124,126,127,138,146,152,154,151,130,131,204,213,307,283,271,256,277
E08000022,North Tyneside,38,34,40,42,48,47,46,45,47,53,54,77,53,49,50,59,64,74,76,72,81,89,88,86,96
E08000023,South Tyneside,30,28,28,28,28,27,28,30,30,42,43,53,51,50,55,63,43,37,44,41,60,120,147,166,132
E08000024,Sunderland,128,137,135,141,145,137,146,146,148,159,154,170,155,162,170,246,238,240,337,334,355,515,357,353,315
E12000002,North West,1204,1279,1412,1476,1403,1410,1513,1620,1725,1804,1883,2004,2188,2316,2468,2929,3154,3627,3953,4475,4798,4971,5158,5669,5872
E06000008,Blackburn with Darwen,14,18,20,24,30,30,27,30,31,32,33,39,46,43,46,45,45,44,57,49,54,59,56,60,67
E06000009,Blackpool,13,15,15,17,19,20,22,22,24,22,23,24,30,30,30,31,39,48,50,45,83,100,92,91,99
E06000049,Cheshire East,59,65,69,71,74,75,87,102,112,122,129,129,140,147,153,154,150,164,180,204,213,240,258,317,327
E06000050,Cheshire West and Chester,40,40,48,49,55,57,69,83,99,101,103,105,116,114,114,133,134,199,208,220,228,237,239,261,281
E06000063,Cumberland (from April 2023),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],183,189,209,245,255,295,276,307,326,327
E06000006,Halton,8,10,11,14,12,12,12,17,17,17,37,38,51,49,52,53,53,59,56,56,62,57,56,57,66
E06000007,Warrington,66,66,82,83,82,85,87,88,89,89,99,101,111,114,124,129,127,125,134,215,160,163,169,201,235
E06000064,Westmorland and Furness (from April 2023),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],292,288,300,306,400,467,476,508,547,579
E10000006,Cumbria (abolished April 2023),150,163,179,183,191,198,210,225,237,251,277,315,365,381,405,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000026,Allerdale (abolished April 2023),17,17,18,18,18,20,20,19,19,22,22,31,36,39,47,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000027,Barrow-in-Furness (abolished April 2023),0,0,2,2,3,3,7,8,9,15,15,15,17,17,24,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000028,Carlisle (abolished April 2023),26,28,31,33,35,39,41,50,49,51,60,70,91,91,87,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000029,Copeland (abolished April 2023),21,21,22,22,22,22,24,28,28,28,28,29,30,30,30,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000030,Eden (abolished April 2023),29,31,34,36,38,37,39,39,45,47,49,48,52,53,57,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000031,South Lakeland (abolished April 2023),57,66,72,72,75,77,79,81,87,88,103,122,139,151,160,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E11000001,Greater Manchester (Metropolitan County),446,465,506,509,412,395,411,425,447,473,460,507,522,619,628,761,776,1035,1171,1398,1479,1485,1567,1768,1847
E08000001,Bolton,26,28,31,31,24,18,21,24,24,24,26,26,27,35,30,36,45,46,76,73,92,72,97,103,129
E08000002,Bury,20,20,24,24,17,17,17,17,22,23,22,23,26,40,29,28,27,45,53,59,55,55,54,51,70
E08000003,Manchester,119,129,131,136,105,97,101,107,112,122,112,123,120,158,155,188,180,312,348,427,418,424,421,536,549
E08000004,Oldham,35,38,44,44,32,31,31,33,33,34,36,42,45,52,56,66,68,77,105,104,118,118,120,118,117
E08000005,Rochdale,30,29,36,36,33,26,25,22,27,31,33,34,34,39,36,44,50,58,60,80,87,99,108,92,104
E08000006,Salford,91,89,95,90,74,74,73,76,76,75,74,79,81,96,105,116,116,114,127,172,163,168,166,175,171
E08000007,Stockport,28,32,34,34,32,33,36,35,36,36,37,40,46,47,50,64,60,54,80,100,146,138,165,174,196
E08000008,Tameside,20,22,25,26,19,22,22,25,25,23,24,25,31,29,30,34,33,35,38,50,49,53,52,58,54
E08000009,Trafford,49,49,51,51,45,45,45,44,52,64,58,76,72,84,90,103,116,196,181,201,216,205,217,274,264
E08000010,Wigan,28,29,35,37,31,32,40,42,40,41,38,39,40,39,47,82,81,98,103,132,135,153,167,187,193
E10000017,Lancashire,239,257,282,300,328,335,357,382,409,428,438,463,497,499,520,602,637,670,747,817,909,963,988,1031,1057
E07000117,Burnley,10,12,13,15,16,18,18,18,24,26,29,31,31,32,34,36,39,43,50,59,57,59,59,64,73
E07000118,Chorley,32,33,34,37,40,40,40,43,46,49,48,52,49,48,46,57,69,72,78,79,88,103,99,112,112
E07000119,Fylde,10,12,12,12,14,16,16,16,16,16,16,20,25,25,25,25,26,32,32,42,47,45,70,69,73
E07000120,Hyndburn,8,11,15,19,23,23,23,24,21,22,22,24,21,30,29,29,29,29,33,34,36,33,30,25,37
E07000121,Lancaster,43,42,57,57,62,65,65,73,74,76,81,84,93,86,85,128,121,124,138,139,163,169,162,168,168
E07000122,Pendle,14,14,14,15,15,15,15,15,15,15,16,16,19,19,19,19,21,21,20,20,20,22,40,40,27
E07000123,Preston,38,41,41,44,46,46,50,52,53,53,53,55,55,55,57,56,57,55,68,79,83,74,70,81,83
E07000124,Ribble Valley,17,16,18,18,18,16,21,26,28,28,28,28,30,33,34,38,37,34,39,49,43,55,63,65,61
E07000125,Rossendale,6,11,11,12,13,15,15,15,15,15,15,17,20,20,21,21,29,31,41,42,78,78,83,85,92
E07000126,South Ribble,25,25,26,29,38,39,44,49,50,50,50,51,63,56,57,56,66,69,71,89,110,106,102,119,120
E07000127,West Lancashire,20,22,24,24,25,24,32,32,48,48,50,55,53,54,66,82,79,83,93,95,98,119,108,102,104
E07000128,Wyre,16,18,17,18,18,18,18,19,19,30,30,30,38,41,47,55,64,77,84,90,86,100,102,101,107
E11000002,Merseyside (Metropolitan County),169,180,200,226,200,203,231,246,260,269,284,283,310,320,396,546,716,774,799,816,848,915,918,1010,987
E08000011,Knowsley,7,7,8,9,9,9,11,18,20,23,24,24,25,25,29,33,33,37,38,37,40,39,52,65,72
E08000012,Liverpool,119,124,142,151,133,135,151,165,168,172,175,175,190,194,257,411,581,604,609,582,581,597,614,618,572
E08000014,Sefton,13,17,17,19,19,19,30,23,26,26,30,28,30,36,39,40,40,44,52,54,63,78,77,101,112
E08000013,St. Helens,15,16,17,27,20,20,20,20,22,22,24,21,25,28,33,31,31,30,40,38,45,48,50,85,89
E08000015,Wirral,15,16,16,20,19,20,19,20,24,26,31,35,40,37,38,31,31,59,60,105,119,153,125,141,142
E12000003,Yorkshire and the Humber,664,775,900,951,996,1056,1127,1156,1327,1423,1514,1614,1839,1946,2007,2465,2524,2669,2923,3097,3334,3635,3671,4141,4195
E06000011,East Riding of Yorkshire,27,28,37,38,42,43,55,58,62,71,78,74,89,113,123,141,148,175,180,189,203,223,229,257,251
E06000010,"Kingston upon Hull, City of",17,21,28,28,31,34,36,34,41,48,51,54,57,57,62,71,71,75,110,124,135,153,151,174,175
E06000012,North East Lincolnshire,17,16,18,19,19,19,21,24,24,25,28,27,31,31,31,38,38,42,43,47,79,70,72,84,77
E06000013,North Lincolnshire,14,12,13,15,16,18,21,21,25,25,26,35,35,48,48,48,49,61,66,68,86,107,115,118,126
E06000065,North Yorkshire (from April 2023),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],439,490,564,664,689,757,797,775,871,905
E06000014,York [Note 13],58,58,68,70,73,74,75,79,86,90,101,110,150,152,154,221,210,190,147,146,156,158,160,170,159
E10000023,North Yorkshire (abolished April 2023),112,117,138,142,157,159,174,177,216,225,242,262,320,332,360,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000163,Craven (abolished April 2023),15,14,17,18,20,20,28,26,28,29,34,37,51,51,51,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000164,Hambleton (abolished April 2023),15,17,19,20,24,25,25,30,36,38,41,47,48,52,53,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000165,Harrogate (abolished April 2023),33,36,42,42,49,49,52,50,53,56,65,65,81,82,111,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000166,Richmondshire (abolished April 2023),17,16,17,18,18,18,18,18,19,20,26,35,42,43,43,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000167,Ryedale (abolished April 2023),13,15,23,23,23,23,26,27,50,51,43,41,55,57,57,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000168,Scarborough (abolished April 2023),16,16,17,18,20,20,20,20,19,20,22,26,31,35,33,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000169,Selby (abolished April 2023),3,3,3,3,3,4,5,6,11,11,11,11,12,12,12,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E11000003,South Yorkshire (Metropolitan County),136,203,217,231,238,250,266,271,301,319,337,358,365,381,388,526,539,547,576,661,704,782,773,939,975
E08000016,Barnsley,9,14,19,20,21,23,25,25,45,51,55,56,60,64,62,89,97,98,105,100,113,132,120,139,162
E08000017,Doncaster,34,43,45,45,47,51,52,55,57,65,70,68,73,76,84,113,108,103,119,146,156,169,159,204,210
E08000018,Rotherham,43,56,56,59,61,64,68,67,69,68,74,93,83,84,86,99,98,106,118,134,164,166,178,211,200
E08000019,Sheffield,50,90,97,107,109,112,121,124,130,135,138,141,149,157,156,225,236,240,234,281,271,315,316,385,403
E11000006,West Yorkshire (Metropolitan County),283,320,381,408,420,459,479,492,572,620,651,694,792,832,841,981,979,1015,1137,1173,1214,1345,1396,1528,1527
E08000032,Bradford,48,59,81,84,90,95,101,106,108,110,110,114,121,156,154,161,176,180,214,208,202,240,245,313,313
E08000033,Calderdale,19,21,28,28,28,34,35,35,47,49,53,56,72,69,74,74,74,78,88,92,102,120,124,123,133
E08000034,Kirklees,41,43,50,50,57,59,62,63,63,70,73,75,87,84,86,98,100,119,132,132,139,160,174,182,170
E08000035,Leeds,141,152,172,195,189,212,220,227,289,324,340,363,418,412,415,514,495,504,527,548,575,620,631,690,679
E08000036,Wakefield,34,45,50,51,56,59,61,61,65,67,75,86,94,111,112,134,134,134,176,193,196,205,222,220,232
E12000004,East Midlands,743,862,925,962,1029,1090,1176,1280,1413,1550,1627,1718,1842,1903,1993,2090,2237,2462,2843,3107,3437,3600,3603,3792,3858
E06000015,Derby,53,57,58,58,59,59,62,64,65,70,76,89,92,89,99,119,116,128,181,176,190,202,187,191,202
E06000016,Leicester,70,72,72,73,73,73,74,76,79,90,114,113,112,109,114,114,117,114,168,189,205,208,202,195,206
E06000061,North Northamptonshire (from April 2021),[x],[x],[x],[x],[x],[x],[x],86,92,94,100,118,123,128,139,149,169,202,229,238,251,267,298,315,305
E06000018,Nottingham,104,126,128,125,130,143,148,148,151,191,186,197,204,221,236,230,226,234,262,276,300,302,285,311,318
E06000017,Rutland,10,10,14,14,14,15,17,17,19,22,22,22,22,21,19,18,20,19,23,33,34,38,36,39,39
E06000062,West Northamptonshire (from April 2021),[x],[x],[x],[x],[x],[x],[x],69,82,93,107,108,157,166,177,160,200,238,259,295,337,347,366,374,375
E10000007,Derbyshire,79,101,113,124,138,149,169,184,218,240,249,274,279,286,287,325,337,361,379,441,497,549,531,555,603
E07000032,Amber Valley,6,7,10,10,12,11,11,15,15,23,23,22,22,27,29,40,40,39,45,55,59,67,60,62,68
E07000033,Bolsover,10,14,15,15,15,15,29,35,39,41,45,41,45,45,45,48,48,47,45,72,73,104,75,86,98
E07000034,Chesterfield,20,29,29,31,29,29,31,31,55,59,62,61,64,63,64,68,68,82,80,81,113,102,112,109,117
E07000035,Derbyshire Dales,17,18,20,27,34,33,34,36,36,37,38,47,45,45,46,51,58,60,64,67,69,77,81,87,91
