region_ons,region_name,parent,parent_ons,level,classification
K02000001,United Kingdom,,,1,Nation
K03000001,Great Britain,United Kingdom,K02000001,2,Island
E92000001,England,Great Britain,K03000001,3,Country
E12000001,North East,England,E92000001,4,Region
E06000047,County Durham,North East,E12000001,5,Upper level
E06000005,Darlington,North East,E12000001,5,Upper level
E06000001,Hartlepool,North East,E12000001,5,Upper level
E06000002,Middlesbrough,North East,E12000001,5,Upper level
E06000057,Northumberland,North East,E12000001,5,Upper level
E06000003,Redcar and Cleveland,North East,E12000001,5,Upper level
E06000004,Stockton-on-Tees,North East,E12000001,5,Upper level
E11000007,Tyne and Wear (Metropolitan County),North East,E12000001,5,Upper level
E08000037,Gateshead,Tyne and Wear (Metropolitan County),E11000007,6,Authority
E08000021,Newcastle upon Tyne,Tyne and Wear (Metropolitan County),E11000007,6,Authority
E08000022,North Tyneside,Tyne and Wear (Metropolitan County),E11000007,6,Authority
E08000023,South Tyneside,Tyne and Wear (Metropolitan County),E11000007,6,Authority
E08000024,Sunderland,Tyne and Wear (Metropolitan County),E11000007,6,Authority
E12000002,North West,England,E92000001,4,Region
E06000008,Blackburn with Darwen,North West,E12000002,5,Upper level
E06000009,Blackpool,North West,E12000002,5,Upper level
E06000049,Cheshire East,North West,E12000002,5,Upper level
E06000050,Cheshire West and Chester,North West,E12000002,5,Upper level
E06000063,Cumberland (from April 2023),North West,E12000002,5,Upper level
E06000006,Halton,North West,E12000002,5,Upper level
E06000007,Warrington,North West,E12000002,5,Upper level
E06000064,Westmorland and Furness (from April 2023),North West,E12000002,5,Upper level
E10000006,Cumbria (abolished April 2023),North West,E12000002,5,Upper level
E07000026,Allerdale (abolished April 2023),Cumbria (abolished April 2023),E10000006,6,Authority
E07000027,Barrow-in-Furness (abolished April 2023),Cumbria (abolished April 2023),E10000006,6,Authority
E07000028,Carlisle (abolished April 2023),Cumbria (abolished April 2023),E10000006,6,Authority
E07000029,Copeland (abolished April 2023),Cumbria (abolished April 2023),E10000006,6,Authority
E07000030,Eden (abolished April 2023),Cumbria (abolished April 2023),E10000006,6,Authority
E07000031,South Lakeland (abolished April 2023),Cumbria (abolished April 2023),E10000006,6,Authority
E11000001,Greater Manchester (Metropolitan County),North West,E12000002,5,Upper level
E08000001,Bolton,Greater Manchester (Metropolitan County),E11000001,6,Authority
E08000002,Bury,Greater Manchester (Metropolitan County),E11000001,6,Authority
E08000003,Manchester,Greater Manchester (Metropolitan County),E11000001,6,Authority
E08000004,Oldham,Greater Manchester (Metropolitan County),E11000001,6,Authority
E08000005,Rochdale,Greater Manchester (Metropolitan County),E11000001,6,Authority
E08000006,Salford,Greater Manchester (Metropolitan County),E11000001,6,Authority
E08000007,Stockport,Greater Manchester (Metropolitan County),E11000001,6,Authority
E08000008,Tameside,Greater Manchester (Metropolitan County),E11000001,6,Authority
E08000009,Trafford,Greater Manchester (Metropolitan County),E11000001,6,Authority
E08000010,Wigan,Greater Manchester (Metropolitan County),E11000001,6,Authority
E10000017,Lancashire,North West,E12000002,5,Upper level
E07000117,Burnley,Lancashire,E10000017,6,Authority
E07000118,Chorley,Lancashire,E10000017,6,Authority
E07000119,Fylde,Lancashire,E10000017,6,Authority
E07000120,Hyndburn,Lancashire,E10000017,6,Authority
E07000121,Lancaster,Lancashire,E10000017,6,Authority
E07000122,Pendle,Lancashire,E10000017,6,Authority
E07000123,Preston,Lancashire,E10000017,6,Authority
E07000124,Ribble Valley,Lancashire,E10000017,6,Authority
E07000125,Rossendale,Lancashire,E10000017,6,Authority
E07000126,South Ribble,Lancashire,E10000017,6,Authority
E07000127,West Lancashire,Lancashire,E10000017,6,Authority
E07000128,Wyre,Lancashire,E10000017,6,Authority
E11000002,Merseyside (Metropolitan County),North West,E12000002,5,Upper level
E08000011,Knowsley,Merseyside (Metropolitan County),E11000002,6,Authority
E08000012,Liverpool,Merseyside (Metropolitan County),E11000002,6,Authority
E08000014,Sefton,Merseyside (Metropolitan County),E11000002,6,Authority
E08000013,St. Helens,Merseyside (Metropolitan County),E11000002,6,Authority
E08000015,Wirral,Merseyside (Metropolitan County),E11000002,6,Authority
E12000003,Yorkshire and the Humber,England,E92000001,4,Region
E06000011,East Riding of Yorkshire,Yorkshire and the Humber,E12000003,5,Upper level
E06000010,"Kingston upon Hull, City of",Yorkshire and the Humber,E12000003,5,Upper level
E06000012,North East Lincolnshire,Yorkshire and the Humber,E12000003,5,Upper level
E06000013,North Lincolnshire,Yorkshire and the Humber,E12000003,5,Upper level
E06000065,North Yorkshire (from April 2023),Yorkshire and the Humber,E12000003,5,Upper level
E06000014,York [Note 13],Yorkshire and the Humber,E12000003,6,Authority
E10000023,North Yorkshire (abolished April 2023),Yorkshire and the Humber,E12000003,5,Upper level
E07000163,Craven (abolished April 2023),North Yorkshire (abolished April 2023),E10000023,6,Authority
E07000164,Hambleton (abolished April 2023),North Yorkshire (abolished April 2023),E10000023,6,Authority
E07000165,Harrogate (abolished April 2023),North Yorkshire (abolished April 2023),E10000023,6,Authority
E07000166,Richmondshire (abolished April 2023),North Yorkshire (abolished April 2023),E10000023,6,Authority
E07000167,Ryedale (abolished April 2023),North Yorkshire (abolished April 2023),E10000023,6,Authority
E07000168,Scarborough (abolished April 2023),North Yorkshire (abolished April 2023),E10000023,6,Authority
